feature,label,tweet_id,origin
qué haces tan tapada.,1,,rnn
he pegado a una muje.,1,,rnn
Peleas como una niña.,1,,rnn
¡No seas mariquita!,1,,rnn
¡No seas marimacho!,1,,rnn
Tenía que ser vieja.,1,,rnn
la que se viste raro.,1,,rnn
trabajadora del sexo.,1,,rnn
¿Qué llevabas puesto.,1,,rnn
Los hombres no lloran.,1,,rnn
Ese color es de mujer.,1,,rnn
Eso es de marimachos.,1,,rnn
Ya no sale ni en rifa.,1,,rnn
Ese color es de mujer.,1,,rnn
la mujer en la cocina.,1,,rnn
¡Hillary es una puta.,1,,rnn
esa zorra es mi mujer.,1,,rnn
las mujeres son putas.,1,,rnn
"bella, sensual y puta .",1,,rnn
Los hombres no lloran.,1,,rnn
¿No tienes novio aún.,1,,rnn
Ella es una mal amada.,1,,rnn
La puta y mal follada.,1,,rnn
pinche vivora fodonga.,1,,rnn
tan bonita y tan sola.,1,,rnn
pues estas bien buena.,1,,rnn
ser puta es lo maximo.,1,,rnn
una vieja en la calle.,1,,rnn
Los hombres no lloran.,1,,rnn
Una niña tonta y loca.,1,,rnn
el sostén es muy sexy.,1,,rnn
Es la mujer descarada.,1,,rnn
No todos somos iguales.,1,,rnn
LAVADORAS DE DOS PATAS.,1,,rnn
Lloras como una nenaza.,1,,rnn
AGARRARLAS POR EL COÑO.,1,,rnn
Fue un crimen pasional.,1,,rnn
¿Y no piensas casarte.,1,,rnn
corres como una nenaza.,1,,rnn
Vaya mujer estás hecha.,1,,rnn
pendón de Zugarramurdi.,1,,rnn
las mujeres son basura.,1,,rnn
obediencia de la mujer.,1,,rnn
Yo la quiero muy tonta.,1,,rnn
lavadoras de dos patas.,1,,rnn
¡Qué pendejas las dos.,1,,rnn
corres como una nenaza.,1,,rnn
Ellas son los floreros.,1,,rnn
mujer estas toda bruta.,1,,rnn
ella le gusta obedecer.,1,,rnn
Eso no es de señoritas.,1,,rnn
 ¡Mujer tenía que ser.,1,,rnn
A la prima se le arima.,1,,rnn
La que enseña no vende.,1,,rnn
El ballet es de chicas.,1,,rnn
soy una perra chingona.,1,,rnn
Lloras como una nenaza.,1,,rnn
la mujer como alfombra.,1,,rnn
"Adelgaza, ¡vaca burra!",1,,rnn
mujer celosa y maníaca.,1,,rnn
Es un/a hijo/a de puta.,1,,rnn
Lloras como una nenaza.,1,,rnn
El ballet es de chicas.,1,,rnn
El fútbol es de chicos.,1,,rnn
las mujeres provocamos.,1,,rnn
la marcha de las putas.,1,,rnn
"putas, vayan a su casa .",1,,rnn
aflojar con unos golpes.,1,,rnn
No te pongas esta falda.,1,,rnn
LAS MUJERES SON OBJETOS.,1,,rnn
Eso no es de señoritas.,1,,rnn
mujeres son interesadas.,1,,rnn
Las mujeres están locas.,1,,rnn
Le ha quitado el marido.,1,,rnn
Seguro que es una mujer.,1,,rnn
la concha de tu hermana.,1,,rnn
darle hijos a tu esposo.,1,,rnn
la mujer al patriarcado.,1,,rnn
Las mujeres son sumisas.,1,,rnn
sumisión para las niñas.,1,,rnn
una mujer es mancillada.,1,,rnn
es una puta de la calle.,1,,rnn
mi mujer es fea y gorda.,1,,rnn
Calladitas se ven mejor.,1,,rnn
Las señoritas no gritan.,1,,rnn
Qué mujer tan asquerosa.,1,,rnn
una histérica mal amada.,1,,rnn
ellas son unas machas.,1,,rnn
Tan chiquita y tan puta.,1,,rnn
luego por que las matan.,1,,rnn
Eres una calienta pitos.,1,,rnn
lo vas hacer mariquita.,1,,rnn
Tu no porque eres vieja.,1,,rnn
No te pongas esta falda.,1,,rnn
Los coches son de niños.,1,,rnn
Esas cosas son de niñas.,1,,rnn
él es el rey de la casa.,1,,rnn
las mujeres son odiosas.,1,,rnn
Tus nalguitas serán mías.,1,,rnn
Ni machismo ni feminismo.,1,,rnn
proveedora de ciudadanos.,1,,rnn
Qué mujer tan asquerosa.,1,,rnn
"Eres madre, para un poco .",1,,rnn
Ella no es para pololear.,1,,rnn
"le rompo la cara, mijita .",1,,rnn
Tan bonita y tan ladrona.,1,,rnn
Se le está yendo el tren.,1,,rnn
con unos golpes aflojaba.,1,,rnn
eres una basura de mujer.,1,,rnn
 ¡Peleas como una mujer.,1,,rnn
No es malota sexualmente.,1,,rnn
Oye puta ¿Cuanto cobras.,1,,rnn
No hay quien la entienda.,1,,rnn
"Eres madre, para un poco .",1,,rnn
Para ti todo es machismo.,1,,rnn
Tus nalguitas serán mías.,1,,rnn
ella es una cazafortunas.,1,,rnn
eso es solo para hombres.,1,,rnn
Y el novio ¿para cuando.,1,,rnn
te voy a hacer una mujer.,1,,rnn
los hijos son de la mam.,1,,rnn
así quién te va a querer.,1,,rnn
Las muñecas son de niñas.,1,,rnn
Esas cosas son de niños.,1,,rnn
Seguro está en sus días.,1,,rnn
"siempre culo, nunca teta .",1,,rnn
calladita estás más guapa.,1,,rnn
No salgas hasta tan tarde.,1,,rnn
calladita estás más guapa.,1,,rnn
Tienes que darte a desear.,1,,rnn
Deplano estás en tus días.,1,,rnn
Se te va a pasar el arroz.,1,,rnn
la mujer es el sexo débil.,1,,rnn
culpar a la mujer de todo.,1,,rnn
Le decían la mufla de oro.,1,,rnn
No es dueña de sus bienes.,1,,rnn
Es TAN mandona la pendeja.,1,,rnn
Pórtate como una señorita.,1,,rnn
ese trabajo es de hombres.,1,,rnn
ya sientese vieja pendeja.,1,,rnn
nuestra madre es una loca.,1,,rnn
Deplano estás en tus días.,1,,rnn
por eso te dicen la zorra.,1,,rnn
Qué malas son las mujeres.,1,,rnn
ella es una mujer publica.,1,,rnn
Que no me dejes o te mato.,1,,rnn
las putas disfrutamos más.,1,,rnn
Mujer = objeto decorativo.,1,,rnn
la mujer es menospreciada.,1,,rnn
se te va a pasar el arroz.,1,,rnn
calladita estás más guapa.,1,,rnn
Pórtate como una señorita.,1,,rnn
las mujeres también violan.,1,,rnn
siéntate como una señorita.,1,,rnn
Eres cobarde como una niña.,1,,rnn
No eres como otras mujeres.,1,,rnn
A las tías os afecta TODO.,1,,rnn
Se te va a pasar el arroz.,1,,rnn
La perforaría como un tren.,1,,rnn
Le pegó sólo si me provoca.,1,,rnn
él tendrá dominio sobre ti.,1,,rnn
siéntate como una señorita.,1,,rnn
Mi esposa me debe obedecer.,1,,rnn
yo soy tu jefe puta barata.,1,,rnn
De seguro te pega el novio.,1,,rnn
te odio por que eres mujer.,1,,rnn
es que los hombres son as.,1,,rnn
calladita se ve mas bonita.,1,,rnn
ella se lo buscó por facil.,1,,rnn
esta re buena la condenada.,1,,rnn
Eres cobarde como una niña.,1,,rnn
A las niñas no se les pega.,1,,rnn
A dónde irá así vestida.,1,,rnn
Siéntate como una señorita.,1,,rnn
Con esa falda pareces puta.,1,,rnn
por ponerte esos shorcitos.,1,,rnn
"Menudo par de tetas, guapa .",1,,rnn
calladita se ve más bonita.,1,,rnn
A las niñas no se les pega.,1,,rnn
Eres cobarde como una niña.,1,,rnn
No eres como otras mujeres.,1,,rnn
la culpa es de las mujeres.,1,,rnn
el hombre manda en su casa.,1,,rnn
el hombre supera a la mujer.,1,,rnn
"¿Qué pasa, tienes la regla?",1,,rnn
Así no se comporta una dama.,1,,rnn
Siéntate como una señorita.,1,,rnn
Calladita te ves más bonita.,1,,rnn
las mujeres tienen la culpa.,1,,rnn
"te voy a violar, negra p*ta .",1,,rnn
deberías estar en la cocina.,1,,rnn
Se quedó para vestir santos.,1,,rnn
Aborrezco a la mujer sabia.,1,,rnn
No soy la señora de la casa.,1,,rnn
mujer deshonrada y traidora.,1,,rnn
las mujeres no pueden votar.,1,,rnn
la mujer reside en obedecer.,1,,rnn
ella le gusta que le peguen.,1,,rnn
ella esta gorda y asquerosa.,1,,rnn
las niñas mayores no lloran.,1,,rnn
Siéntate como una señorita.,1,,rnn
se da de santa la muy tonta.,1,,rnn
de seguro eras tu la infiel.,1,,rnn
Vestida así te van a violar.,1,,rnn
Así no se comporta una dama.,1,,rnn
La culpa la tienes tú mujer.,1,,rnn
"Conduce mal, seguro es muje .",1,,rnn
¿Otra vez lo del feminismo.,1,,rnn
La acosa que no pidio ayuda.,1,,rnn
Ya te hace falta que te den.,1,,rnn
"Tu no cantas, tu hermano si .",1,,rnn
Mujer que no jode es hombre.,1,,rnn
"Mujeres juntas, ni difuntas .",1,,rnn
Estás enseñando mucha pierna.,1,,rnn
NO SOY LA SE ÑORA DE LA CASA.,1,,rnn
Para ser chica no juegas mal.,1,,rnn
Eso te pasa por vestirte as.,1,,rnn
La mujer es un mal necesario.,1,,rnn
"Amor de fea, no tiene contra .",1,,rnn
No asesinan a tantas mujeres.,1,,rnn
pasa que nadie te c*gió bien.,1,,rnn
Una mujer no puede ser líder.,1,,rnn
no se puede confiar en ellas.,1,,rnn
A mi mujer le pego lo normal.,1,,rnn
"Mi animal favorito, la mujer .",1,,rnn
tu deseo será para tu marido.,1,,rnn
No encontré virgen a tu hija.,1,,rnn
La mujer aprenda en silencio.,1,,rnn
era la más ardiente de todas.,1,,rnn
así vestida pareces una puta.,1,,rnn
ya sientese vieja mal parida.,1,,rnn
Para ser chica no juegas mal.,1,,rnn
Nadie entiende a las mujeres.,1,,rnn
Eso te pasa por vestirte as.,1,,rnn
"Cariño, ¿qué hay para cenar?",1,,rnn
Conduces bien para ser mujer.,1,,rnn
Solo sirves para tener hijos.,1,,rnn
mujer como te gusta provocar.,1,,rnn
te vas a quedar vieja y sola.,1,,rnn
¡Arréglate!Te ves descuidada.,1,,rnn
las mujeres ?se deben dejar.,1,,rnn
"A la mujer brava, soga larga .",1,,rnn
Los videojuegos son de chicos.,1,,rnn
es la mujer quien los provoca.,1,,rnn
Las mujeres no saben conducir.,1,,rnn
"Ah, ¿pero tu tú eres la jefa?",1,,rnn
¿Te comiste todo eso tú sola.,1,,rnn
Yo flipo con lo putas que son.,1,,rnn
la mujer es inferior al varón.,1,,rnn
Tú eres la puerta del demonio.,1,,rnn
sujetas a sus propios esposos.,1,,rnn
la mujer no tiene voz ni voto.,1,,rnn
maldita perra en el Capitolio.,1,,rnn
la mujer significa obediencia.,1,,rnn
¡Da una trompada a esa zorra.,1,,rnn
ella no sirve porque es mujer.,1,,rnn
a las mujeres les afecta todo.,1,,rnn
"Ah, ¿pero tu tú eres la jefa?",1,,rnn
Mejor pónganse a dieta no mmn.,1,,rnn
eres una tonta por naturaleza.,1,,rnn
" Y tú, ¿no te animas con uno?",1,,rnn
"Cocina tú, eso es para viejas .",1,,rnn
"Te van violar asi vestida, eh .",1,,rnn
la mujer dedicada a la cocina.,1,,rnn
las chicas no valen para nada.,1,,rnn
Los videojuegos son de chicos.,1,,rnn
Las mujeres no saben conducir.,1,,rnn
"No es por ser machista, pero?",1,,rnn
La nana quieta y la hija loca.,1,,rnn
las mujeres son insuficientes.,1,,rnn
hombre como el sexo dominante.,1,,rnn
las muje- res son más débiles.,1,,rnn
ni ella tan dócil y obediente.,1,,rnn
"mujer que no enseña, no vende .",1,,rnn
Las mujeres no pueden conducir.,1,,rnn
las mujeres son tontas y malas.,1,,rnn
"ve a prepararme un té, querida .",1,,rnn
no han probado una buena polla.,1,,rnn
la mujer es dócil y muy frágil.,1,,rnn
la tonta es mucho más aceptada.,1,,rnn
estatus inferior a las mujeres.,1,,rnn
Mujer maltratada con un bastón.,1,,rnn
Mujer maltratada con un bastón.,1,,rnn
Esas mujeres no aman de verdad.,1,,rnn
que alguien se la lleve a casa.,1,,rnn
las mujeres somos sus esclavas.,1,,rnn
Las mujeres no pueden conducir.,1,,rnn
culpaba a las mujeres violadas.,1,,rnn
La Emancipación de las Mujeres.,1,,rnn
"no me dejes, o hago una locura .",1,,rnn
Mujer al volante?muerte segura.,1,,rnn
Pórtate como un machote/hombre.,1,,rnn
Las mujeres no dicen groserías.,1,,rnn
Las mujeres no dicen groserías.,1,,rnn
Vete a fregara otro lado mujer.,1,,rnn
El amor y los celos la mataron.,1,,rnn
Mejor vete a la cocina pendeja.,1,,rnn
Las prostitutas son unas putas.,1,,rnn
"Eres mujer, tu que vas a saber .",1,,rnn
por eso las matan a esas putas.,1,,rnn
"¿Dónde vas vestida así, putón?",1,,rnn
"ser ?princesa? (linda, sumisa)",1,,rnn
"¡Te has cargado a Isco, zorra!",1,,rnn
Pintarse las uñas es de chicas.,1,,rnn
Llevar pendientes es de chicas.,1,,rnn
Corres/juegas/gritas como niña.,1,,rnn
las mujeres son unas inmaduras.,1,,rnn
"cariño, ¿esas son tus rodillas?",1,,rnn
No quiero que subas esas fotos.,1,,rnn
Eres una mala madre/esposa/hija.,1,,rnn
Eres mujer y ¿no sabes cocinar.,1,,rnn
Eres muy lista. para ser tía.,1,,rnn
Las tías no aceptáis una broma.,1,,rnn
No me gusta que las tías fumen.,1,,rnn
La mujer es el piojo del hombre.,1,,rnn
el marido es cabeza de la mujer.,1,,rnn
la mujer es la gloria del varón.,1,,rnn
así no se sientan las señoritas.,1,,rnn
la mujer debe estar sujeta a él.,1,,rnn
esclava del hogar ama de llaves.,1,,rnn
Tienes que ser buena en la cama.,1,,rnn
Te ves muy sexy con ese vestido.,1,,rnn
"Cuanto más prima, más se arrima .",1,,rnn
Mujer tienes que darte a desear.,1,,rnn
Eres mujer y ¿no sabes cocinar.,1,,rnn
Ponganse a jalar pinches viejas.,1,,rnn
me das asco por que estas gorda.,1,,rnn
mamasita llevas falda muy corta.,1,,rnn
"mujer, otra vez no lo entiendes .",1,,rnn
eres una pendeja por naturaleza.,1,,rnn
ella nunca ha sabido estar sola.,1,,rnn
ella es una basura que no sirve.,1,,rnn
las mujeres tienen menos fuerza.,1,,rnn
la hembra rumana del presidente.,1,,rnn
¿Solo tu faltas de tener hijos.,1,,rnn
"tú lo elegiste, ya no te quejes .",1,,rnn
tu no puedes por que eres mujer.,1,,rnn
Eres una mala madre/esposa/hija.,1,,rnn
las mujeres son unas perdedoras.,1,,rnn
la mujer es un hombre incompleto.,1,,rnn
También hay mujeres que asesinan.,1,,rnn
así no se sientan las señoritas.,1,,rnn
Así solo se visten las busconas.,1,,rnn
Cocinar y lavar no es de hombres.,1,,rnn
esa mujer los tiene bien puestos.,1,,rnn
¿Eso es todo lo que vas a comer.,1,,rnn
la mujer es un hombre incompleto.,1,,rnn
El hombre siempre tiene la razón.,1,,rnn
La mujer pertenece al sexo débil.,1,,rnn
una mujer sumisa a un macho alfa.,1,,rnn
El escote de la primera ministra.,1,,rnn
la mujer se sujetará a su marido.,1,,rnn
Ven a las mujeres como una plaga.,1,,rnn
las mujeres nacieron para madres.,1,,rnn
así vestida pareces una mojigata.,1,,rnn
Así solo se visten las busconas.,1,,rnn
Las mujeres no aceptan una broma.,1,,rnn
Ese pintalabios parece de fulana.,1,,rnn
" Cuanto más prima, más se arrima .",1,,rnn
las mujeres se indignan por todo.,1,,rnn
Cocinar y lavar no es de hombres.,1,,rnn
¿Todo eso vas a comerte tú sola.,1,,rnn
las mujeres son objetos sexuales.,1,,rnn
ojala estas sucias sean violadas.,1,,rnn
si eres mujer eres una fracasada.,1,,rnn
Porqué te esfuerzas en verte fea.,1,,rnn
tratar a la mujer como un objeto.,1,,rnn
este chico corre como una niñita.,1,,rnn
Ya estás hecha toda una señorita.,1,,rnn
la mujer es un objeto decorativo.,1,,rnn
Así nunca vas a conseguir marido.,1,,rnn
Ella no sirve para el matrimonio.,1,,rnn
Controlar los gastos de la mujer.,1,,rnn
Estás obsesionada con el machismo.,1,,rnn
Deberías ser un poco más femenina.,1,,rnn
Se lo buscó por andar vestida as.,1,,rnn
Ese pintalabios parece de fulana.,1,,rnn
Son las madres las que educan as.,1,,rnn
Eres muy divertida para ser mujer.,1,,rnn
la mujer es el estuche de la vida.,1,,rnn
El cuerpo de la mujer es una cosa.,1,,rnn
mujeres y niñas violadas cada día.,1,,rnn
Deberías ser un poco más femenina.,1,,rnn
Se lo buscó por andar vestida as.,1,,rnn
ella se someta a su propio marido.,1,,rnn
La cabeza de la mujer es el varón.,1,,rnn
mi esposa debe obedecerme en todo.,1,,rnn
la mujer en casa y no en la plaza.,1,,rnn
mi mujer es la esclava de mi casa.,1,,rnn
¿Ya estamos con lo del feminismo.,1,,rnn
la mujer es pendeja de nacimiento.,1,,rnn
¿no te vas a arreglar para salir.,1,,rnn
ya le viste las nalgas a la nueva.,1,,rnn
"No digas tacos, eres una señorita .",1,,rnn
¿No pensarás salir en zapatillas.,1,,rnn
Solo se arregla para que la miren.,1,,rnn
¿Pues para que abres las piernas.,1,,rnn
"Ollas destapadas, mujer descarada .",1,,rnn
¿No te vas a arreglar para salir.,1,,rnn
ellos son sujetos y ellas objetos.,1,,rnn
Deberías ser un poco más femenina.,1,,rnn
Se lo buscó por andar vestida as.,1,,rnn
dominio del hombre sobre la mujer.,1,,rnn
"A la mujer y a la mula, vara dura .",1,,rnn
una mujer es quizá un ser inferior.,1,,rnn
Cuando bebes pareces un camionero.,1,,rnn
Eres muy graciosa. para ser tía.,1,,rnn
es ella quien lleva los pantalones.,1,,rnn
las mujeres nos usan a los hombres.,1,,rnn
Voy a violar y destripar a tu hija.,1,,rnn
no deberías participar en política.,1,,rnn
rechazo del trabajo de las mujeres.,1,,rnn
Las mujeres son un sexo decorativo.,1,,rnn
el hombre no debe ?ayudar? en casa.,1,,rnn
ella debe obedecerle como al Señor.,1,,rnn
"¡Otra vez deprimida, qué aburrida!",1,,rnn
No me gusta que las mujeres fumen.,1,,rnn
Te vas a quedar para vestir santos.,1,,rnn
Vestida así pareces una prostituta.,1,,rnn
ella era idiota o estaba bromeando.,1,,rnn
La mujer y la sardina en la cocina.,1,,rnn
"La mujer que mucho mira, poco hila .",1,,rnn
"Son operadas, se nota a kilómetros .",1,,rnn
Algo sacarían si todas se callaron.,1,,rnn
Esto no es un juego para señoritas.,1,,rnn
las mujeres no tienen inteligencia.,1,,rnn
ella es la mujer mas fea del mundo.,1,,rnn
Tú estás para servirle a tu esposo.,1,,rnn
"tu lo escogiste, Ahora te aguantas .",1,,rnn
"Si sabe cocinar, ya se puede casar .",1,,rnn
"Si una mujer lo hace, es una zorra .",1,,rnn
"Mujer sin hijos, jardín sin flores .",1,,rnn
Lo cojo yo y le quito las paterías.,1,,rnn
No comas por la calle que no ligas.,1,,rnn
Te vas a quedar para vestir santos.,1,,rnn
"Te voy a hacer una mujer, preciosa .",1,,rnn
"La mujer que mucho mira, poco hila .",1,,rnn
La mujer y la sardina en la cocina.,1,,rnn
las chicas buenas no son violadas.,1,,rnn
las mujeres que de plano son malas.,1,,rnn
sometida a la esclavitud doméstica.,1,,rnn
Eres una princesa. No vuelvas sola.,1,,rnn
Los hombres siempre piensan en sexo.,1,,rnn
Tienes buen cuerpo. Sácale provecho.,1,,rnn
¿No sé quién? parece una prostituta.,1,,rnn
Eres muy divertida. para ser tía.,1,,rnn
Todas las feministas son lesbianas.,1,,rnn
Te vas a quedar para vestir santos.,1,,rnn
"A la mujer y a la cabra, soga larga .",1,,rnn
"Gatos y mujeres, buenas uñas tienen .",1,,rnn
"no llores, que eso es cosa de niñas .",1,,rnn
las mujeres se ensaña con el cuerpo.,1,,rnn
por salir sola de noche te violaron.,1,,rnn
me golpea porque está en su derecho.,1,,rnn
"La mujer, está donde le corresponde .",1,,rnn
Las mujeres están para ser gustadas.,1,,rnn
la mujer es defectuosa y mal nacida.,1,,rnn
mujeres dedicadas a la prostitución.,1,,rnn
Ser madre vs la carrera profesional.,1,,rnn
las esposas ?sujetas? a sus maridos.,1,,rnn
la sumisión de la mujer a su marido.,1,,rnn
ellas no tienen los mismos derechos.,1,,rnn
Como mujeres no tenemos voz ni voto.,1,,rnn
las matemáticas son cosa de hombres.,1,,rnn
¿Informática? ¿No prefieres bailar.,1,,rnn
Eres muy graciosa. para ser mujer.,1,,rnn
"Mira esa, a su edad y vistiendo así",1,,rnn
Todas las feministas son lesbianas.,1,,rnn
"No es acoso, es que le gustas mucho .",1,,rnn
"Mujer al volante, peligro constante .",1,,rnn
Tienes buen cuerpo. Sácale provecho.,1,,rnn
mamasita a que horas vas por el pan.,1,,rnn
 Te vas a quedar para vestir santos.,1,,rnn
"pinche gata, seguro vas al smartfit .",1,,rnn
las mujeres carecen de inteligencia.,1,,rnn
"maquillate, para que te veas bonita .",1,,rnn
