label,message,length,punct
ham,WHAT TIME U WRKIN?,18,1
ham,Dont talk to him ever ok its my word.,37,1
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",130,22
ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,89,3
ham, &lt;#&gt;  in mca. But not conform.,36,7
ham,Ya that one is slow as poo,26,0
ham,Armand says get your ass over to epsilon,40,0
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,123,12
ham,Lol they were mad at first but then they woke up and gave in.,61,1
ham,:) ,3,2
ham,"Yes, princess. Toledo.",22,3
ham,Having lunch:)you are not in online?why?,40,4
ham,Oh k. . I will come tomorrow,28,2
ham,Hey you can pay. With salary de. Only  &lt;#&gt; .,50,8
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,78,4
ham,Finish liao... U?,17,4
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,611,133
ham,Dont know you bring some food,29,0
ham,Lol no ouch but wish i'd stayed out a bit longer,48,1
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",109,5
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,88,11
ham,i thought we were doing a king of the hill thing there.,55,1
ham,Just curious because my cuz asked what I was up to,50,0
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,68,4
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,6
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,84,3
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",168,5
ham,What Today-sunday..sunday is holiday..so no work..,50,7
ham,You're right I have now that I think about it,45,1
ham,"Princess, is your kitty shaved or natural?",42,2
ham,Okay but i thought you were the expert,38,0
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",134,9
ham,"Ask g or iouri, I've told the story like ten times already",58,2
ham,Ya srsly better than yi tho,27,0
ham,Oh is it? Send me the address,29,1
ham,Great! I shoot big loads so get ready!,38,2
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,7
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,94,6
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",329,6
ham,On the way to office da..,25,2
ham,"Its good, we'll find a way",26,2
ham,"Sorry, I'll call later",22,2
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",130,8
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,141,5
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up",166,5
ham,Really? I crashed out cuddled on my sofa.,41,2
ham,Yes:)here tv is always available in work place..,48,4
ham,I'm coming home 4 dinner.,25,2
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,74,6
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,94,6
ham,"No I'm good for the movie, is it ok if I leave in an hourish?",61,3
ham,Lol! Oops sorry! Have fun. ,27,3
ham,Lmao but its so fun...,22,3
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",160,14
ham,Ooooooh I forgot to tell u I can get on yoville on my phone,59,0
ham,Yunny i'm walking in citylink now ü faster come down... Me very hungry...,73,7
ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",77,5
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",88,2
ham,"Sorry,  in meeting I'll call you later",38,2
ham,Were somewhere on Fredericksburg,32,0
ham,Huh so early.. Then ü having dinner outside izzit?,50,3
ham,"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",141,12
ham,Would me smoking you out help us work through this difficult time,65,0
ham,I am joining today formally.Pls keep praying.will talk later.,61,3
ham,WHORE YOU ARE UNBELIEVABLE.,27,1
ham,Today am going to college so am not able to atten the class.,60,1
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",226,10
ham,"Theoretically yeah, he could be able to come",44,1
ham,No..but heard abt tat..,23,4
ham,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,77,2
ham,Whom you waited for yesterday,29,0
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,276,20
ham,"Hi this is yijue, can i meet u at 11 tmr?",41,2
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,71,11
ham,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",76,11
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,72,3
ham,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt",125,15
ham,"U so lousy, run already come back then half dead... Hee...",58,7
ham,"Probably not, still going over some stuff here",46,1
ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",132,8
ham,I'm job profile seems like bpo..,32,3
ham,I'm going for bath will msg you next  &lt;#&gt;  min..,54,8
ham,"Aight, you close by or still down around alex's place?",54,3
ham,Yup ü not comin :-(,19,3
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,7
ham,Yup having my lunch buffet now.. U eat already?,47,3
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,121,4
ham,Yes.he have good crickiting mind,32,1
ham,Ok i juz receive..,18,2
ham,Printer is cool. I mean groovy. Wine is groovying,49,2
ham,No no. I will check all rooms befor activities,46,1
ham,I wont. So wat's wit the guys,29,2
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,176,11
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",316,23
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,106,4
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",148,7
ham,"I didnt get ur full msg..sometext is missing, send it again",59,3
ham,Aight sorry I take ten years to shower. What's the plan?,56,3
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe",49,3
ham,"Yeah, we got one lined up for us",32,1
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",160,14
ham,Ok,2,0
ham,Why de. You looking good only:-)..,34,6
ham,I have lost 10 kilos as of today!,33,1
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,69,9
ham,"Sorry, I'll call later",22,2
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.,73,2
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,75,7
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype,74,3
ham,Hows the pain dear?y r u smiling?,33,2
ham,We have to pick rayan macleran there.,37,1
ham,What's a feathery bowa? Is that something guys have that I don't know about?,76,4
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,107,2
ham,"I can't right this second, gotta hit people up first",52,2
ham,That is wondar full flim.,25,1
ham,Correct. So how was work today,30,1
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,130,4
ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,116,4
ham,What happen dear. Why you silent. I am tensed,45,2
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",88,5
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),148,11
ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",137,5
ham,"No, but you told me you were going, before you got drunk!",57,3
ham,Do you hide anythiing or keeping distance from me,49,0
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month ,77,4
ham,Okie...,7,3
ham,Cool. So how come you havent been wined and dined before?,57,2
ham,K.i will send in  &lt;#&gt;  min:),34,8
ham,Ok ok take care. I can understand.,34,2
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",140,11
ham,Hui xin is in da lib.,21,1
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",125,10
ham,Is that seriously how you spell his name?,41,1
ham,How much would it cost to hire a hitman,39,0
ham,Can do lor...,13,3
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X",159,10
ham,S..antha num corrct dane,24,2
ham,Lol. Well quality aint bad at all so i aint complaining,55,1
ham,Yup,3,0
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",138,6
ham,I will see in half an hour,26,0
ham,Did u got that persons story,28,0
ham,Then u going ikea str aft dat?,30,1
ham,U can call me now...,20,3
ham,"Nothing much, chillin at home. Any super bowl plan?",51,3
ham,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",153,15
ham,Try neva mate!!,15,2
ham,"As usual..iam fine, happy &amp; doing well..:)",46,9
ham,"Yup. Anything lor, if u dun wan it's ok...",42,6
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,154,8
ham,I think chennai well settled?,29,1
ham,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,63,13
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",153,7
ham,Sac will score big hundred.he is set batsman:-),47,4
ham,"Dude u knw also telugu..thts gud..k, gud nyt..",46,7
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",175,7
ham,Wat time u finish ur lect today?,32,1
ham,Its normally hot mail. Com you see!,35,2
ham,Oh ya ya. I remember da. .,26,3
ham,He dint tell anything. He is angry on me that why you told to abi.,66,2
ham,Mm umma ask vava also to come tell him can play later together,62,0
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",63,10
ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :),66,4
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,130,3
ham,I am on the way to ur home,26,0
ham,I will reach ur home in  &lt;#&gt;  minutes,43,5
ham,"Yep, by the pretty sculpture",28,1
ham,Got meh... When?,16,4
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,1
ham,Cab is available.they pick up and drop at door steps.,53,2
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,87,0
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",200,9
ham,I'm still pretty weak today .. Bad day ?,40,4
ham,Yup... From what i remb... I think should be can book... ,57,9
ham,I'm serious. You are in the money base,38,2
ham,K..give back my thanks.,23,3
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",133,7
ham,"How long before you get reply, just defer admission til next semester",69,1
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",87,7
ham,Wish u many many returns of the day.. Happy birthday vikky..,60,4
ham,Oh yah... We never cancel leh... Haha ,38,6
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,45,7
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,87,1
ham,Lol or I could just starve and lose a pound by the end of the day.,66,1
ham,So are you guys asking that i get that slippers again or its gone with last year,80,0
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,88,11
ham,"Hurry up, I've been weed-deficient for like three days",54,3
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",153,11
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",155,11
ham,"Haha awesome, be there in a minute",34,1
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",84,8
ham,"Sorry,in meeting I'll call later",32,2
ham,Ok can...,9,3
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,80,4
ham,Ok lor...,9,3
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",160,8
ham,Good morning pookie pie! Lol hope I didn't wake u up,52,2
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",150,10
ham,No no. I will check all rooms befor activities,46,1
ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,60,5
ham,Yo dude guess who just got arrested the other day,49,0
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes,49,6
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,156,4
ham,Lol well don't do it without me. We could have a big sale together.,67,3
ham,No dear i do have free messages without any recharge. Hi hi hi,62,1
ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,91,5
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",145,16
ham,Id have to check but there's only like 1 bowls worth left,57,1
ham,How much it will cost approx . Per month.,41,2
ham,Guess who spent all last night phasing in and out of the fourth dimension,73,0
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",101,6
ham,Onum ela pa. Normal than.,25,2
ham,K k pa Had your lunch aha.,26,1
ham,Wat u doing there?,18,1
ham,On the road so cant txt,23,0
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:),67,5
ham,What time you thinkin of goin?,30,1
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,9
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,117,6
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),139,16
ham,So what did the bank say about the money?,41,1
ham,How would my ip address test that considering my computer isn't a minecraft server,82,1
ham,You in your room? I need a few,30,1
ham,Yay! You better not have told that to 5 other girls either.,59,2
ham,A guy who gets used but is too dumb to realize it.,50,1
ham,Dear how you. Are you ok?,25,2
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,122,13
ham,But i dint slept in afternoon.,30,1
ham,Huh i cant thk of more oredi how many pages do we have?,55,1
ham,Both :) i shoot big loads so get ready!,39,3
ham,If you're thinking of lifting me one then no.,45,2
ham,Mom wants to know where you at,30,0
ham,"Cool, text me when you're parked",32,2
ham,Ok but tell me half an hr b4 u come i need 2 prepare.,53,1
ham,Then any special there?,23,1
ham,Sorry da..today i wont come to play..i have driving clas..,58,6
ham,"Sounds good, keep me posted",27,1
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,94,4
ham,No. I.ll meet you in the library,32,2
ham,Then wat r u doing now? Busy wif work?,38,2
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,58,2
ham,LOL ... Have you made plans for new years?,42,4
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",124,6
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",157,4
ham,Sorry for the delay. Yes masters,32,1
ham,I cant pick the phone right now. Pls send a message,51,1
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,135,4
ham,Just got outta class gonna go gym.,34,1
ham,"Just dropped em off, omw back now",33,1
ham,Nope... Juz off from work...,28,6
ham,Haf u found him? I feel so stupid da v cam was working.,55,2
ham,No shoot me. I'm in the docs waiting room. :/,45,5
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,157,12
ham,How come she can get it? Should b quite diff to guess rite...,61,4
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,85,4
ham,Ok i shall talk to him,22,0
ham,7 lor... Change 2 suntec... Wat time u coming?,46,7
ham,Just seeing your missed call my dear brother. Do have a gr8 day.,64,2
ham,No he didn't. Spring is coming early yay!,41,3
ham,Me too! Have a lovely night xxx,31,1
ham,U 2.,4,1
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,85,4
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,115,3
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",155,7
ham,You still at the game?,22,1
ham,What you need. You have a person to give na.,44,2
ham,i cant talk to you now.i will call when i can.dont keep calling.,64,3
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",109,6
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,141,6
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,156,7
ham,Mm feeling sleepy. today itself i shall get that dear,53,1
ham,Leave it. U will always be ignorant.,36,2
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,98,9
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",120,2
ham,No my mum went 2 dentist.,25,1
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,115,6
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,136,1
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex",52,4
ham,"Haha... Sounds crazy, dunno can tahan anot...",45,7
ham,Host-based IDPS for linux systems.,34,2
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),37,6
ham,We left already we at orchard now.,34,1
ham,Ü go home liao? Ask dad to pick me up at 6...,45,4
ham,Lol I would but despite these cramps I like being a girl.,57,1
ham,Probably earlier than that if the station's where I think it is,63,1
ham,I'm freezing and craving ice. Fml,33,2
ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",97,2
ham,X2  &lt;#&gt; . Are you going to get that,41,6
ham,Are there TA jobs available? Let me know please cos i really need to start working,82,1
ham,Don know. I did't msg him recently.,35,3
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",105,5
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",281,9
ham,Hi dear we saw dear. We both are happy. Where you my battery is low,67,2
ham,Another month. I need chocolate weed and alcohol.,49,2
ham,Oh k...i'm watching here:),26,6
ham,Thank you princess! You are so sexy...,38,4
ham,I will be gentle princess! We will make sweet gentle love...,60,4
ham,No problem. Talk to you later,29,1
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,84,6
ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",72,8
ham,Thanks love. But am i doing torch or bold.,42,2
ham,Hey leave it. not a big deal:-) take care.,42,5
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,73,2
ham,Ok lor.,7,1
ham,Aight ill get on fb in a couple minutes,39,0
ham,I know you are. Can you pls open the back?,42,2
ham,Ugh. Gotta drive back to sd from la. My butt is sore.,53,3
ham,Ü give me some time to walk there.,34,1
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,101,1
ham,Somebody should go to andros and steal ice,42,0
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,81,4
ham,I think that tantrum's finished so yeah I'll be by at some point,64,2
ham,Boo what time u get out? U were supposed to take me shopping today. :(,70,4
ham,Yes when is the appt again?,27,1
ham,R u still working now?,22,1
ham,After the drug she will be able to eat.,39,1
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,2
ham,Why you keeping me away like this,33,0
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,69,3
ham,Yes.mum lookin strong:),23,3
ham,Wife.how she knew the time of murder exactly,44,1
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,73,9
ham,Ok i thk i got it. Then u wan me 2 come now or wat?,51,2
ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",629,52
ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",255,21
ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",54,6
ham,Watching telugu movie..wat abt u?,33,3
ham,Pls send me the correct name da.,32,1
ham,WHITE FUDGE OREOS ARE IN STORES,31,0
ham,Are you not around or just still asleep? :V,43,2
ham,S:)8 min to go for lunch:),26,4
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",88,4
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",133,3
ham,Pls speak to that customer machan.,34,1
ham,Don know:)this week i'm going to tirunelvai da.,47,4
ham,"That's very rude, you on campus?",32,3
ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,89,5
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",157,10
ham,No chikku nt yet.. Ya i'm free,30,3
ham,S.i'm watching it in live..,27,4
ham,Hey gals.. Anyone of u going down to e driving centre tmr?,58,3
ham,Erutupalam thandiyachu,22,0
ham,Ok i am on the way to railway,29,0
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,121,12
ham,Have you not finished work yet or something?,44,1
ham,Can come my room but cannot come my house cos my house still messy... Haha...,77,6
ham,Sending you greetings of joy and happiness. Do have a gr8 evening,65,1
ham,Okie...,7,3
ham,Ok c ü then.,12,1
ham,Haha i think i did too,22,0
ham,Hey mr whats the name of that bill brison book the one about language and words ,80,0
ham,I'm home. Ard wat time will u reach?,36,3
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,156,3
ham,"Me, i dont know again oh",24,1
ham,So wats ur opinion abt him and how abt is character?,52,1
ham,Thanx a lot...,14,3
ham,at bruce b downs &amp; fletcher now,35,2
