,feature,text,clase,word_count,token_count
47,MISS CERDITA.,miss cerdita,violent,2,2
48,soy una puta.,soy una puta,violent,3,3
49,maldita loca.,maldita loca,violent,2,2
50,la conquista.,la conquista,violent,2,2
51,hijo de puta.,hijo de puta,violent,3,3
52,No seas nena.,no seas nena,violent,3,3
53,malas mujeres.,malas mujeres,violent,2,2
54,tetas grandes.,tetas grandes,violent,2,2
55,Mujer pública.,mujer pública,violent,2,2
56,vete a fregar.,vete a fregar,violent,3,3
57,Como una niña.,como una niña,violent,3,3
58,el sexo débil.,el sexo débil,violent,3,3
59,calla fregona.,calla fregona,violent,2,2
60,piel de zorra.,piel de zorra,violent,3,3
61,pincha tripas.,pincha tripas,violent,2,2
62,fogón apagado.,fogón apagado,violent,2,2
63,la puta madre.,la puta madre,violent,3,3
64,no vales nada.,no vales nada,violent,3,3
65,no vales nada.,no vales nada,violent,3,3
66,misógino jefe.,misógino jefe,violent,2,2
67,maldita perra.,maldita perra,violent,2,2
68,bruja malvada.,bruja malvada,violent,2,2
69,silencio puta.,silencio puta,violent,2,2
70,eres una loca.,eres una loca,violent,3,3
71,mujeres putas.,mujeres putas,violent,2,2
72,Date a desear.,date a desear,violent,3,3
73,maldita perra.,maldita perra,violent,2,2
74,soy una zorra.,soy una zorra,violent,3,3
75,las muñeconas.,las muñeconas,violent,2,1
76,No seas mensa.,no seas mensa,violent,3,3
77,No seas tonta.,no seas tonta,violent,3,3
78,la robanovios.,la robanovios,violent,2,1
79,qué chula vas.,qué chula vas,violent,3,3
80,maldita bruja.,maldita bruja,violent,2,2
81,Vas provocando.,vas provocando,violent,2,2
82,Cállate y puja.,cállate y puja,violent,3,3
84,Hijo/a de puta.,hijo/a de puta,violent,3,4
85,p*ta asquerosa.,p*ta asquerosa,violent,2,2
86,sapo revolcado.,sapo revolcado,violent,2,2
87,Las Malcriadas.,las malcriadas,violent,2,2
88,puta con falda.,puta con falda,violent,3,3
89,"Cállate, zorra .","cállate, zorra",violent,2,2
90,eres una perra.,eres una perra,violent,3,3
91,silencio tonta.,silencio tonta,violent,2,2
92,silencio perra.,silencio perra,violent,2,2
93,pinches viejas.,pinches viejas,violent,2,2
94,vieja chismosa.,vieja chismosa,violent,2,2
95,Vas provocando.,vas provocando,violent,2,2
96,la robamaridos.,la robamaridos,violent,2,1
97,la puta barata.,la puta barata,violent,3,3
98,Es TAN mandona.,es tan mandona,violent,3,3
100,ojalá te violen.,ojalá te violen,violent,3,3
101,negra malc*gida.,negra malc*gida,violent,2,1
102,Eres tan básica.,eres tan básica,violent,3,3
103,jimia escaldada.,jimia escaldada,violent,2,1
104,eres una inútil.,eres una inútil,violent,3,3
106,eres una inútil.,eres una inútil,violent,3,3
107,Una niña inútil.,una niña inútil,violent,3,3
108,la niña rebelde.,la niña rebelde,violent,3,3
109,Las niñas putas.,las niñas putas,violent,3,3
110,zorra de zorras.,zorra de zorras,violent,3,3
111,Golfa de mierda.,golfa de mierda,violent,3,3
112,golfa de mierda.,golfa de mierda,violent,3,3
113,No seas llorona.,no seas llorona,violent,3,3
114,es una cuernuda.,es una cuernuda,violent,3,2
115,eres una putona.,eres una putona,violent,3,3
116,No seas pendeja.,no seas pendeja,violent,3,3
117,mujer promiscua.,mujer promiscua,violent,2,2
118,el hombre manda.,el hombre manda,violent,3,3
119,vieja asquerosa.,vieja asquerosa,violent,2,2
120,retrasada mental.,retrasada mental,violent,2,2
121,Aflojó el cuerpo.,aflojó el cuerpo,violent,3,3
122,TRASEROS BONITOS.,traseros bonitos,violent,2,2
123,caldero abollado.,caldero abollado,violent,2,2
124,morcón reventado.,morcón reventado,violent,2,2
125,vieja tortillera.,vieja tortillera,violent,2,2
126,es una callejera.,es una callejera,violent,3,3
127,La mujer violada.,la mujer violada,violent,3,3
128,zorra repugnante.,zorra repugnante,violent,2,2
129,eres una pendeja.,eres una pendeja,violent,3,3
130,ella es cachonda.,ella es cachonda,violent,3,3
131,Eres una fodonga.,eres una fodonga,violent,3,2
133,Es una histérica.,es una histérica,violent,3,3
134,estupida hermana.,estupida hermana,violent,2,2
135,Eres una cobarde.,eres una cobarde,violent,3,3
136,estas bien mensa.,estas bien mensa,violent,3,3
137,como jodes mujer.,como jodes mujer,violent,3,3
138,corres como niña.,corres como niña,violent,3,3
139,Es una histérica.,es una histérica,violent,3,3
140,chicas calientes.,chicas calientes,violent,2,2
142,rodillas o pechos.,rodillas o pechos,violent,3,3
143,hacedora de hijos.,hacedora de hijos,violent,3,3
146,enferma malcogida.,enferma malcogida,violent,2,1
147,piltrafa pringada.,piltrafa pringada,violent,2,2
148,trasgo del barrio.,trasgo del barrio,violent,3,3
150,la madre abnegada.,la madre abnegada,violent,3,3
152,toda mujer pecar.,toda mujer pecar,violent,3,3
153,corres como mujer.,corres como mujer,violent,3,3
154,las malas mujeres.,las malas mujeres,violent,3,3
155,esclava del hogar.,esclava del hogar,violent,3,3
157,La esposa esclava.,la esposa esclava,violent,3,3
159,Hombres de verdad.,hombres de verdad,violent,3,3
160,ya sientese vieja.,ya sientese vieja,violent,3,2
163,Loca. Estas loca.,loca. estas loca,violent,3,3
166,las mujeres malas.,las mujeres malas,violent,3,3
168,¡Menuda histérica.,¡menuda histérica,violent,2,2
169,albarda arrastrada.,albarda arrastrada,violent,2,2
170,mas estése callada.,mas estése callada,violent,3,2
174,la mujer peligrosa.,la mujer peligrosa,violent,3,3
176,ella debe obedecer.,ella debe obedecer,violent,3,3
177,ella debe obedecer.,ella debe obedecer,violent,3,3
178,Madonna Prostituta.,madonna prostituta,violent,2,2
179,completamente loca.,completamente loca,violent,2,2
181,estupida perdedora.,estupida perdedora,violent,2,2
182,viejas mal paridas.,viejas mal paridas,violent,3,3
185,callense estupidas.,callense estupidas,violent,2,1
188,Es una robamaridos.,es una robamaridos,violent,3,2
190,Mujer = escaparate.,mujer = escaparate,violent,3,3
194,¿Cómo iba vestida?,¿cómo iba vestida?,violent,3,3
198,Andar de princesita.,andar de princesita,violent,3,3
199,ella debe someterse.,ella debe someterse,violent,3,3
204,eres una arrastrada.,eres una arrastrada,violent,3,3
207,busconas o fulanas.,busconas o fulanas,violent,3,3
209,no somos obedientes.,no somos obedientes,violent,3,3
210,HILLARY ES ASQUEROSA.,hillary es asquerosa,violent,3,3
216,deportes para chicos.,deportes para chicos,violent,3,3
217,Deberías sonreír más.,deberías sonreír más,violent,3,3
222,no estás cualificada.,no estás cualificada,violent,3,3
226,Las mujeres violadas.,las mujeres violadas,violent,3,3
230,mujer desprestigiada.,mujer desprestigiada,violent,2,2
236,Hillary es asquerosa.,hillary es asquerosa,violent,3,3
237,Tienes boca mamadora.,tienes boca mamadora,violent,3,3
242,¡No seas mariquita!,¡no seas mariquita!,violent,3,3
243,¡No seas marimacho!,¡no seas marimacho!,violent,3,3
246,trabajadora del sexo.,trabajadora del sexo,violent,3,3
247,¿Qué llevabas puesto.,¿qué llevabas puesto,violent,3,3
262,pinche vivora fodonga.,pinche vivora fodonga,violent,3,1
279,pendón de Zugarramurdi.,pendón de zugarramurdi,violent,3,2
297,"Adelgaza, ¡vaca burra!","adelgaza, ¡vaca burra!",violent,3,3
303,las mujeres provocamos.,las mujeres provocamos,violent,3,3
310,mujeres son interesadas.,mujeres son interesadas,violent,3,3
339,proveedora de ciudadanos.,proveedora de ciudadanos,violent,3,3
478,¡Arréglate!Te ves descuidada.,¡arréglate!te ves descuidada,violent,3,2
544,Corres/juegas/gritas como niña.,corres/juegas/gritas como niña,violent,3,5
2597,que mi puta,que mi puta,violent,3,3
2598,me perteneces,me perteneces,violent,2,2
2601,tú la puta,tú la puta,violent,3,3
2604,ya me perteneces,ya me perteneces,violent,3,3
2605,solo tu puta,solo tu puta,violent,3,3
2606,gata traicionera,gata traicionera,violent,2,2
2608,odio perra,odio perra,violent,2,2
2614,eres mujer sarmentosas,eres mujer sarmentosas,violent,3,2
2615,fuiste mía,fuiste mía,violent,2,2
2616,sigues siendo mía,sigues siendo mía,violent,3,3
2619,alir con putas,alir con putas,violent,3,2
2621,tú estabas perra,tú estabas perra,violent,3,3
2625,es pendeja,es pendeja,violent,2,2
2626,mata esta muchacha,mata esta muchacha,violent,3,3
2629,eres una bruja,eres una bruja,violent,3,3
2631,mi puta,mi puta,violent,2,2
2639,compro tu novia,compro tu novia,violent,3,3
2669,maldita tu,maldita tu,violent,2,2
2694,"tu , perra .","tu , perra",violent,3,2
2754,eres muy fea,eres muy fea,violent,3,3
2767,no seas pendeja,no seas pendeja,violent,3,3
2777,la mujer puta,la mujer puta,violent,3,3
2781,"linda , arrabalera","linda , arrabalera",violent,3,2
2787,gata tracionera,gata tracionera,violent,2,1
2793,suelta una puta,suelta una puta,violent,3,3
2797,una perra sincera,una perra sincera,violent,3,3
2807,si la maté,si la maté,violent,3,3
2834,yo la mate,yo la mate,violent,3,3
2873,cabrona jodida,cabrona jodida,violent,2,2
2883,sexo con ellas,sexo con ellas,violent,3,3
2884,que la azoto,que la azoto,violent,3,3
2891,pinche alcohólica,pinche alcohólica,violent,2,2
2897,maldita eres.,maldita eres,violent,2,2
2898,maldita flor.,maldita flor,violent,2,2
2899,que maldita tu.,que maldita tu,violent,3,3
2900,Es medio maniática.,es medio maniática,violent,3,3
2912,tu puta vino.,tu puta vino,violent,3,3
2927,eres una buscarruinas.,eres una buscarruinas,violent,3,2
2935,Una perra sincera.,una perra sincera,violent,3,3
2939,Gata tracionera.,gata tracionera,violent,2,1
2940,Eso perra.,eso perra,violent,2,2
2941,"Dale, perra,Sacude Leoniza. ","dale, perra,sacude leoniza.",violent,3,3
2943,te odio perra.,te odio perra,violent,3,3
2944,Traicionera mujer zuela.,traicionera mujer zuela,violent,3,3
2945,pa una piruja.,pa una piruja,violent,3,3
2946,Asquerosamente fea.,asquerosamente fea,violent,2,2
2947,eres una mujerzuela.,eres una mujerzuela,violent,3,3
2948,Eres una perra.,eres una perra,violent,3,3
2952,esa perra.,esa perra,violent,2,2
2961,sos la perra.,sos la perra,violent,3,3
2974,la mate.,la mate,violent,2,2
2975,esta perra arrecha.,esta perra arrecha,violent,3,3
2981,Pobre perra despreciada.,pobre perra despreciada,violent,3,3
2982,De una puta.,de una puta,violent,3,3
2983,Yo la mate.,yo la mate,violent,3,3
2996,Ay vieja perra.,ay vieja perra,violent,3,3
2997,Pinche vieja interesada.,pinche vieja interesada,violent,3,3
3008,la amenazo multiplicada.,la amenazo multiplicada,violent,3,3
3079,eres mía.,eres mía,violent,2,2
3080,"te estaré asfixiando,encadenada. ","te estaré asfixiando,encadenada.",violent,3,4
3087,Perra dama blanca.,perra dama blanca,violent,3,3
3090,Siempre mía.,siempre mía,violent,2,2
3092,Hacerte muy putita.,hacerte muy putita,violent,3,3
3097,Maldita puta.,maldita puta,violent,2,2
3105,te quiero amarrar.,te quiero amarrar,violent,3,3
3111,Pinche alcohólica.,pinche alcohólica,violent,2,2
3112,Te empedaron.,te empedaron,violent,2,1
3129,puta desagradecida.,puta desagradecida,violent,2,2
3143,"sus,orgasmos son,fingidos. ","sus,orgasmos son,fingidos.",violent,2,4
3145,Dame tu mujer.,dame tu mujer,violent,3,3
3174,"Hasta tu, perra. ","hasta tu, perra.",violent,3,3
3179,"Mátala, mátala, mátala,. ","mátala, mátala, mátala,.",violent,3,0
3193,me gusta chichi.,me gusta chichi,violent,3,3
3194,que medes papaya.,que medes papaya,violent,3,2
3195,baila rica nena.,baila rica nena,violent,3,3
3211,la cama amarrarte.,la cama amarrarte,violent,3,2
3228,Cuando la azoto.,cuando la azoto,violent,3,3
3230,un culito prestigioso.,un culito prestigioso,violent,3,3
3243,mmmmm puta.,mmmmm puta,violent,2,2
3246,Eres una puta.,eres una puta,violent,3,3
3251,Quiero desvirgarte.,quiero desvirgarte,violent,2,1
3261,to esa pendeja.,to esa pendeja,violent,3,3
3264,chinga tu madre.,chinga tu madre,violent,3,3
3266,Putas pero ricas.,putas pero ricas,violent,3,3
3292,Mandarlas a devolución.,mandarlas a devolución,violent,3,3
3298,Tu experiencia primera.,tu experiencia primera,violent,3,3
3339,"ella,zorra. ","ella,zorra.",violent,1,2
3341,ninguna se enzorra.,ninguna se enzorra,violent,3,2
3370,pa tenerte siempreconservadita.,pa tenerte siempreconservadita,violent,3,2
3386,con esta no.,con esta no,violent,3,3
3388,Que sepa coser.,que sepa coser,violent,3,3
3389,Que sepa bordar.,que sepa bordar,violent,3,3
3390,Con esta si.,con esta si,violent,3,3
4088,"Pienso, luego existo.","pienso, luego existo",nonviolent,3,3
4474,"Conócete, acéptate, supérate.","conócete, acéptate, supérate",nonviolent,3,2
5046,Ser es hacer.,ser es hacer,nonviolent,3,3
5109,Saber es acordarse.,saber es acordarse,nonviolent,3,3
5314,Gobernar es rectificar.,gobernar es rectificar,nonviolent,3,3
5899,"Abril, aguas mil.","abril, aguas mil",nonviolent,3,2
5908,Oros son triunfos.,oros son triunfos,nonviolent,3,3
5914,"Quien calla, otorga.","quien calla, otorga",nonviolent,3,3
5924,Nobleza obliga.,nobleza obliga,nonviolent,2,2
5927,"Quien espera, desespera.","quien espera, desespera",nonviolent,3,3
5958,"Criados, enemigos pagados.","criados, enemigos pagados",nonviolent,3,3
5969,Dinero llama dinero.,dinero llama dinero,nonviolent,3,3
6010,Casarás y amansarás.,casarás y amansarás,nonviolent,3,2
6026,Las paredes oyen.,las paredes oyen,nonviolent,3,3
6076,Averígüelo Vargas.,averígüelo vargas,nonviolent,2,1
6137,porque eres mía.,porque eres mía,violent,3,3
6147,mi hija puta.,mi hija puta,violent,3,3
6153,te toca llorar .,te toca llorar,nonviolent,3,3
6156,es una diosa.,es una diosa,nonviolent,3,3
6162,la maldigo.,la maldigo,violent,2,2
6182,ella me utilizó.,ella me utilizó,nonviolent,3,3
6183,tu boca huele.,tu boca huele,nonviolent,3,3
6190,tengo más admiradores.,tengo más admiradores,nonviolent,3,3
6192,quiero tu panocha.,quiero tu panocha,violent,3,3
6200,nunca me llama.,nunca me llama,nonviolent,3,3
6212,yo te necesito.,yo te necesito,nonviolent,3,3
6214,las mujeres gatas.,las mujeres gatas,violent,3,3
6236,te extraño mía.,te extraño mía,nonviolent,3,3
6247,ella me gusta.,ella me gusta,nonviolent,3,3
6262,electrocutarte solita prostituta.,electrocutarte solita prostituta,violent,3,2
6267,puedes largarte.,puedes largarte,nonviolent,2,2
6268,te me largas.,te me largas,nonviolent,3,3
6269,qué loquita.,qué loquita,nonviolent,2,2
6270,se ve familiar.,se ve familiar,nonviolent,3,3
6275,mujeres malfolladas.,mujeres malfolladas,violent,2,1
6281,eres una diosa.,eres una diosa,nonviolent,3,3
6282,te quiero muriendo.,te quiero muriendo,violent,3,3
6288,te enfadas.,te enfadas,nonviolent,2,2
6311,una muerte sincera.,una muerte sincera,nonviolent,3,3
6320,no me arrepiento.,no me arrepiento,nonviolent,3,3
6323,tengo que matarla.,tengo que matarla,violent,3,3
6332,soy un pirata.,soy un pirata,nonviolent,3,3
6339,me quieren chingar.,me quieren chingar,nonviolent,3,3
6340,gran mujer.,gran mujer,nonviolent,2,2
6357,quiero amanecer follando.,quiero amanecer follando,nonviolent,3,3
6373,ya me extrañas.,ya me extrañas,nonviolent,3,3
6377,quiere ese culito.,quiere ese culito,violent,3,3
6383,es bonita.,es bonita,nonviolent,2,2
6384,cuanto una puta.,cuanto una puta,violent,3,3
6385,hoy hay entierro.,hoy hay entierro,nonviolent,3,3
6391,ya te amo.,ya te amo,nonviolent,3,3
6394,haremos un guateque.,haremos un guateque,nonviolent,3,3
6399,me dejo contento.,me dejo contento,nonviolent,3,3
6400,que puta.,que puta,violent,2,2
6406,que maldita eres.,que maldita eres,violent,3,3
6407,estoy contento.,estoy contento,nonviolent,2,2
6411,tu apestoso coño.,tu apestoso coño,violent,3,3
6415,no seas marimacho.,no seas marimacho,violent,3,3
6429,es promiscua.,es promiscua,violent,2,2
6432,maldita mujer.,maldita mujer,violent,2,2
6442,hora de violarte.,hora de violarte,violent,3,3
6444,te degollaré.,te degollaré,violent,2,1
6459,yo quiero bailar.,yo quiero bailar,nonviolent,3,3
6463,ella es hermosa.,ella es hermosa,nonviolent,3,3
6476,también me arrepiento.,también me arrepiento,nonviolent,3,3
6487,yo te adoraba.,yo te adoraba,nonviolent,3,3
6488,chicas no valen.,chicas no valen,violent,3,3
6507,mami te salvará.,mami te salvará,nonviolent,3,3
6508,parece una señorita.,parece una señorita,nonviolent,3,3
6512,no nos amargamos.,no nos amargamos,nonviolent,3,2
6516,te amo tanto.,te amo tanto,nonviolent,3,3
6518,sólo lo mataron.,sólo lo mataron,nonviolent,3,3
6521,soy tu novia.,soy tu novia,nonviolent,3,3
6553,tomaban sin pensar.,tomaban sin pensar,nonviolent,3,3
6561,me tiene enamorado.,me tiene enamorado,nonviolent,3,3
6577,es una señorita.,es una señorita,violent,3,3
6586,hombre es superior.,hombre es superior,violent,3,3
6602,quisiera gritarte.,quisiera gritarte,nonviolent,2,2
6605,terminan haciendo todo.,terminan haciendo todo,nonviolent,3,3
6606,eres una máscara.,eres una máscara,nonviolent,3,3
6607,una gran gótica.,una gran gótica,nonviolent,3,3
6608,me engañaste.,me engañaste,nonviolent,2,2
6611,me gusta.,me gusta,nonviolent,2,2
6613,se ve bonita.,se ve bonita,nonviolent,3,3
6615,yo quiero perrearte.,yo quiero perrearte,nonviolent,3,2
6616,estoy enamorado.,estoy enamorado,nonviolent,2,2
6619,no me falles.,no me falles,nonviolent,3,3
6620,tu me abandonaste.,tu me abandonaste,nonviolent,3,3
6623,sigues siendo mía.,sigues siendo mía,violent,3,3
6666,otra garrapata mas.,otra garrapata mas,nonviolent,3,3
6688,eres un arte.,eres un arte,nonviolent,3,3
6690,no esa fea.,no esa fea,nonviolent,3,3
6696,eres una poeta.,eres una poeta,nonviolent,3,3
6705,debe tener alternativas.,debe tener alternativas,nonviolent,3,3
6706,el amor apesta.,el amor apesta,nonviolent,3,3
6714,es una golfa.,es una golfa,violent,3,3
6719,loca bien cabrona.,loca bien cabrona,violent,3,3
6725,eres bien bonita.,eres bien bonita,nonviolent,3,3
6738,linda sin falda.,linda sin falda,violent,3,3
6742,eres tan bronca.,eres tan bronca,violent,3,3
6747,se puso bella.,se puso bella,nonviolent,3,3
6762,me la cojo.,me la cojo,violent,3,3
6807,maldita tu.,maldita tu,violent,2,2
6832,"tu , perra .","tu , perra",violent,3,2
6892,eres muy fea.,eres muy fea,violent,3,3
6905,no seas pendeja.,no seas pendeja,violent,3,3
6915,la mujer puta.,la mujer puta,violent,3,3
6919,"linda , arrabalera.","linda , arrabalera",violent,3,2
6925,gata tracionera.,gata tracionera,violent,2,1
6931,suelta una puta.,suelta una puta,violent,3,3
6935,una perra sincera.,una perra sincera,violent,3,3
6945,si la maté.,si la maté,violent,3,3
6972,yo la mate.,yo la mate,violent,3,3
7011,cabrona jodida.,cabrona jodida,violent,2,2
7021,sexo con ellas.,sexo con ellas,violent,3,3
7022,que la azoto.,que la azoto,violent,3,3
7029,pinche alcohólica.,pinche alcohólica,violent,2,2
7045,Puta greta https://t.co/SpsPocHkzb,puta greta,violent,2,1
7053,@LaFallaras Estás loca.,@lafallaras estás loca,violent,3,2
7076,@LaFallaras Eres patética,@lafallaras eres patética,violent,3,2
7218,#Feminazi en acción!! https://t.co/XvxggejDza,#feminazi en acción!!,violent,3,3
7230,#Feminazi  en acción. https://t.co/IHONapZYSc,#feminazi en acción.,violent,3,3
7385,@pelaogalaz Feminazis loqueando,@pelaogalaz feminazis loqueando,violent,3,1
7393,🤔 y las feminazis 🤔 https://t.co/64JR1561aF,y las feminazis,violent,3,3
7411,@ZuluagaCamila Feminazi y 🐸,@zuluagacamila feminazi y,violent,3,2
7498,Feminazi de mierda https://t.co/vLiuVTdr5f,feminazi de mierda,violent,3,3
7529,FEMINAZIS HIPÓCRITAS!! https://t.co/oXpk4bMf6s,feminazis hipócritas!!,violent,2,2
7789,Descripción feminazi prototipo! 🤣 https://t.co/IFF32zUkPk,descripción feminazi prototipo!,violent,3,3
7879,@KarinEggersG Ridículas feminazis,@karineggersg ridículas feminazis,violent,3,2
7906,@twominbae cállate puta,@twominbae cállate puta,violent,3,2
7915,@Diameuwu1 CALLATE PUTA 😡😡😡,@diameuwu1 callate puta,violent,3,2
7917,@AMatiaG Cállate puta,@amatiag cállate puta,violent,3,2
7923,@ricota_s Cállate puta,@ricota_s cállate puta,violent,3,2
7929,@etereolyniel callate puta,@etereolyniel callate puta,violent,3,2
7937,@InesArrimadas @guardiacivil PATETICA😂😂😂,@inesarrimadas @guardiacivil patetica,violent,3,2
7941,@InesArrimadas eres patética.,@inesarrimadas eres patética,violent,3,2
7957,@InesArrimadas Eres patética!!,@inesarrimadas eres patética!!,violent,3,2
7972,@InesArrimadas jajajajajajajaja PATETICA!!!!!!!! https://t.co/IeF0zfULnc,@inesarrimadas jajajajajajajaja patetica!!!!!!!!,violent,3,2
7982,@InesArrimadas Patetica.,@inesarrimadas patetica,violent,2,1
7991,@cayetanaAT Calla loca,@cayetanaat calla loca,violent,3,2
8010,@Irene_Montero_ @pnique Patetica,@irene_montero_ @pnique patetica,violent,3,1
8026,@cayetanaAT Loca esquizofrénica!!!,@cayetanaat loca esquizofrénica!!!,violent,3,2
8051,@InesArrimadas Estupida !!!!!,@inesarrimadas estupida !!!!!,violent,3,1
8071,@cayetanaAT Patetica.,@cayetanaat patetica,violent,2,1
8078,@Irene_Montero_ Callate loca!,@irene_montero_ callate loca!,violent,3,2
8102,@cayetanaAT perra!,@cayetanaat perra!,violent,2,1
8107,@LaFallaras Perra mala,@lafallaras perra mala,violent,3,2
8116,@InesArrimadas Loca insignificante 🙈,@inesarrimadas loca insignificante,violent,3,2
8125,@LaFallaras Eres patética.,@lafallaras eres patética,violent,3,2
8147,"@LaFallaras 😅😅😅😅😅
Qué patética...",@lafallaras qué patética..,violent,3,2
8626,Feminismo cuántico.,feminismo cuántico,violent,2,2
8645,@DonNadieOficial Machista!,@donnadieoficial machista!,violent,2,1
8691,@Ioutear del feminismo,@ioutear del feminismo,violent,3,2
8710,@pjmsfools SILENCIO MACHISTA,@pjmsfools silencio machista,violent,3,2
8731,@Milgreu machista,@milgreu machista,violent,2,1
8741,@alykalekalok machista,@alykalekalok machista,violent,2,1
8848,@Oriana939 Cállate puta,@oriana939 cállate puta,violent,3,2
8943,@Perees Cállate puta,@perees cállate puta,violent,3,2
9036,@hannivrgn Cállate puta,@hannivrgn cállate puta,violent,3,2
9037,@Chris_Idk10 Callate puta,@chris_idk10 callate puta,violent,3,2
9043,@DonHistorias Cállate puta 🖕,@donhistorias cállate puta,violent,3,2
9045,Ahora a fregar https://t.co/SpaisfONrf,ahora a fregar,violent,3,3
9121,@luciano_hang Greta idiota,@luciano_hang greta idiota,violent,3,1
9136,Pendeja mentirosa! @GretaThunberg 😒 https://t.co/dRfbyQEyb7,pendeja mentirosa! @gretathunberg,violent,3,2
9138,@GretaThunberg Caragita idiota,@gretathunberg caragita idiota,violent,3,1
9154,@Cannabianol Greta puta,@cannabianol greta puta,violent,3,1
9187,@Estadao Greta histérica,@estadao greta histérica,violent,3,1
9197,@GretaThunberg Vadia puta,@gretathunberg vadia puta,violent,3,1
9220,que mujer idiota,que mujer idiota,violent,3,3
9259,@Nallelygsa Perra,@nallelygsa perra,violent,2,1
9262,@GretaThunberg Gilipollas,@gretathunberg gilipollas,violent,2,1
9310,@GretaThunberg Vieja payasa,@gretathunberg vieja payasa,violent,3,2
9314,@GretaThunberg por payasa 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/yqfeh4tJLl,@gretathunberg por payasa,violent,3,2
9347,Greta puta :),greta puta :),violent,3,1
9367,@cayetanaAT Jodete perra,@cayetanaat jodete perra,violent,3,2
9378,@AdaColau Perra!,@adacolau perra!,violent,2,1
9384,@cayetanaAT Estúpida nazi!,@cayetanaat estúpida nazi!,violent,3,2
9414,Puta de greta,puta de greta,violent,3,2
9467,@cayetanaAT Perra,@cayetanaat perra,violent,2,1
9474,@monasterioR eres patetica,@monasterior eres patetica,violent,3,2
9486,@monasterioR @julia_otero Malfollada!,@monasterior @julia_otero malfollada!,violent,3,0
9528,@InesArrimadas Simplemente.....eres patética .,@inesarrimadas simplemente.....eres patética,violent,3,3
9539,"@InesArrimadas Arrimadas10
#Patetica https://t.co/l9gU3xfqwK",@inesarrimadas arrimadas10 #patetica,violent,3,1
9609,@cayetanaAT Eres patética,@cayetanaat eres patética,violent,3,2
9625,@InesArrimadas Puta loca.,@inesarrimadas puta loca,violent,3,2
9674,@InesArrimadas Estas Loca!!,@inesarrimadas estas loca!!,violent,3,2
9708,@InesArrimadas Patetica,@inesarrimadas patetica,violent,2,1
9737,"⚠️SENTENCIA CASO ARANDINA⚠️
https://t.co/asvvBTU8qO",sentencia caso arandina,violent,3,3
10006,@LaikaOrbital Arandina?? 🤣🤣🤣,@laikaorbital arandina??,violent,2,1
10072,"Pues eso... 
#Arandina https://t.co/bl9Wtrheu2",pues eso... #arandina,violent,3,3
10081,@larissacors 38 anos🙌🏻🙌🏻🙌🏻,@larissacors 38 anos,violent,3,1
10146,@InesArrimadas Eres patética,@inesarrimadas eres patética,violent,3,2
10339,@InesArrimadas Jajajjaja patética....,@inesarrimadas jajajjaja patética...,violent,3,2
10630,@LaFallaras Puta genio,@lafallaras puta genio,violent,3,2
10653,https://t.co/UkgoPwplXG #Arandina,#arandina,violent,1,1
10702,MACHISTA #askfandoms,machista #askfandoms,violent,2,1
10708,Libre de machismo 🙏🏼 https://t.co/IhEXxxJxjg,libre de machismo,violent,3,3
